Rank,Name,Country,Established,Academic Staff,Number of Students,Minimum Tuition cost,Volumes in the library,Endowment
1, Massachusetts Institute of Technology,us,1861,1069,11920,"$50,000.00",1351391,$24.6B
2, Harvard University,us,1636,2400,21613,"$50,000.00",14440248,$50.7B
3, Stanford University,us,1885,2323,17529,"$50,000.00",6625926,$36.5B
4, Cornell University,us,1865,1639,26284,"$50,000.00",5270855,$10.7B
5," University of California, Berkeley",us,1868,,45307,"$12,500.00",7718398,$7.4B
6, University of Michigan,us,1817,8189,52065,"$15,000.00",11963205,$19.2B
7, University of Washington,us,1861,5803,50097,"$10,000.00",5328078,$6.62B
8, Columbia University in the City of New York,us,1754,4628,36649,"$50,000.00",10966064,$14.8B
9," University of California, Los Angeles",us,1919,7941,48048,"$12,500.00",14166096,$7.7B
10, Yale University,us,1701,5499,12093,"$50,000.00",8788525,$41.4B
11, University of Pennsylvania,us,1740,4793,23374,"$50,000.00",5195303,$22.3B
12, University of Wisconsin-Madison,us,1848,2220,48557,"$10,000.00",4743387,$4B
13, The University of Texas at Austin,us,1883,3254,52384,"$10,000.00",5210114,$19.72B
14, University of Chicago,us,1891,2859,18452,"$50,000.00",5562134,$10.4B
15, Princeton University,us,1746,1068,8478,"$50,000.00",7823350,$35.8B
16, University of Minnesota Twin Cities,us,1851,4823,54890,"$15,000.00",4133437,$5.366B
17, Purdue University,us,1869,2974,52211,"$7,500.00",953952,$4.1B
18," University of California, Davis",us,1905,2175,40848,"$12,500.00",2197043,$2B
19, University of Toronto,ca,1827,3246,64218,"$2,500.00",,$2.5B
20," University of California, San Diego",us,1960,10810,43381,"$12,500.00",1461384,$1.36B
21, Johns Hopkins University,us,1876,,30549,"$50,000.00",2189759,$13B
22, New York University,us,1831,9835,59144,"$50,000.00",3071277,$6.7B
23, Penn State University,us,1855,8002,89816,"$17,500.00",3325427,$4.5B
24, University of Florida,us,1853,8231,54814,"$5,000.00",4369176,$2.337B
25, Michigan State University,us,1855,5703,52089,"$15,000.00",3653771,$4.4B
26, University of Southern California,us,1880,4767,49318,"$50,000.00",3461030,$7.6B
27, University of North Carolina at Chapel Hill,us,1789,4234,32234,"$7,500.00",3876572,$5.1B
28, Carnegie Mellon University,us,1900,1483,16335,"$50,000.00",665370,$3B
29, The University of British Columbia,ca,1908,5696,44882,"$5,000.00",,$1.94B
30, Arizona State University,us,1885,5300,57144,"$10,000.00",2432432,$1.59B
31, Duke University,us,1838,3982,16780,"$50,000.00",3411287,$12.7B
32, University of Maryland,us,1856,4474,40792,"$10,000.00",2159225,$2.1B
33," Rutgers, The State University of New Jersey",us,1766,4314,68942,"$15,000.00",1756429,$1.99B
34, University of Illinois Urbana-Champaign,us,1867,2548,59238,"$17,500.00",5879486,$3.38B
35, The Ohio State University,us,1870,7310,60046,"$10,000.00",4273687,$7.9B
36, University of Colorado Boulder,us,1876,3547,37153,"$12,500.00",3089850,$2.1B
37, Texas A&M University,us,1876,3845,72982,"$10,000.00",2121425,$17.22B
38, The University of Arizona,us,1885,3385,53187,"$10,000.00",2454980,$1.29B
39," University of California, Irvine",us,1965,5343,37297,"$12,500.00",1757187,$0.79589B
40, Northwestern University,us,1851,4018,22801,"$50,000.00",2848930,$13.7B
41, University of Virginia,us,1819,3265,25944,"$17,500.00",3491094,$13.6B
42, Boston University,us,1869,4309,37557,"$50,000.00",1304308,$3.5B
43, North Carolina State University,us,1887,2464,37873,"$7,500.00",1479212,$2.03B
44, The University of Utah,us,1850,4858,35236,"$7,500.00",2636251,$1.64B
45, Indiana University Bloomington,us,1820,2149,48424,"$10,000.00",5138304,$3.32B
46," University of California, Santa Barbara",us,1921,2749,26179,"$12,500.00",3848817,$0.57876B
47, McGill University,ca,1821,3476,39513,"$2,500.00",,$1.46B
48, Georgetown University,us,1789,1500,19005,"$50,000.00",1839683,$3.6B
49, University of Pittsburgh,us,1787,5396,29927,"$20,000.00",3542833,$5.68B
50, Washington University in St. Louis,us,1853,4415,17012,"$50,000.00",2093702,$11.5B
51, Tufts University,us,1852,1288,13274,"$50,000.00",823755,$2.6B
52, University of Nebraska-Lincoln,us,1869,1595,23986,"$7,500.00",1757277,$2.27B
53, Virginia Polytechnic Institute and State University,us,1872,1395,36383,"$12,500.00",1229344,$1.7B
54, Oregon State University,us,1868,,37121,"$10,000.00",1118518,$0.8299B
55, Brigham Young University,us,1875,1264,35074,"$5,000.00",3936802,$3.08B
56, University of Waterloo,ca,1957,1355,40513,"$5,000.00",,$0.34054B
57, Georgia Institute of Technology,us,1885,1309,47961,"$12,500.00",411568,$2.97B
58, University of Georgia,us,1785,3119,40607,"$10,000.00",4229493,$1.82B
59, University of Rochester,us,1850,3253,12160,"$50,000.00",1743680,$3.32B
